ID,Hànzì,Español,Pinyin
1,你是我的朋友,"¡Eres mi amigo!, ¡Eres mi amiga!",nǐ shì wǒ de péngyou!
2,那个好喝吗？,¿Está esa (bebida) deliciosa?,nàge hǎohē ma?
3,今天她有两节课，对不对？,Ella tiene dos clases hoy ¿verdad?,"jīntiān tā yǒu liǎng jié kè, duì bùduì?"
4,他们是我们的朋友,Ellos son nuestros amigos,Tāmen shì wǒmen de péngyou!
5,您好！我是你的同学,Hola! Soy tu compañero de clase,nín hǎo! Wǒ shì nǐde tóngxué
6,我的朋友,Mi amigo,wǒde péngyou
7,我姐姐是老师,Mi hermana mayor es profesora,wǒ jiějie shì lǎoshī.
8,我们的同事,"Nuestros compañeros de trabajo, nuestros colegas",wǒmen de tóngshì
9,九个中国人,Nueve chinos,jiǔgè zhōngguó rén
10,我要吃披萨,Quiero comer pizza,wǒ yào chī pīsa.
11,我们是两个美国人,Somos dos estadounidenses,wǒmen shì liǎnggè měiguó rén.
12,我的爸爸是律师,Mi papá es abogado,wǒ de bàba shì lǜshī
13,这个人喝牛奶吗？,¿Bebe esta persona leche?,zhège rén hē niúnǎi ma?
14,你喝果汁吗？,¿Bebes zumo?,nǐ hē guǒzhī ma?
15,你哥哥叫什么名字？,¿Cómo se llama tu hermano mayor?,nǐ gēge jiào shénme míngzì?
16,几个人？,¿Cuántas personas (hay)?,jǐ gè rén?
17,你是中国人吗？,¿Eres china?,nǐ shì zhōngguó rén ma?
18,对吗？,¿Es correcto?,duì ma?
19,那是包子吗？,¿Es eso un baozi?,nà shì bāozi ma?
20,那是酒吗？,¿Es eso una bebida alcohólica?,nà shì jiǔ ma?
21,这是水吗？,¿Es esto agua?,zhè shì shuǐ ma?
22,这个好吃吗？,¿Está esta (comida) deliciosa?,zhège hǎochī ma?
23,你家有十口人吗？,¿Hay diez personas en tu familia?,nǐjiā yǒu shíkǒu rén ma?
24,你不喝咖啡吗？,¿No tomas café?,nǐ bù hē kāfēi ma?
25,你吃什么？,¿Qué comes?,nǐ chī shénme?
26,你的朋友是中国人吗？,¿Tu amigo es chino?,nǐ de péngyǒu shì zhōngguó rén ma?
27,你妹妹是学生吗？,¿Tu hermana menor es estudiante?,nǐ mèimei shì xuésheng ma?
28,andre 是法国人。,André es francés.,andre shì fǎguó rén.
29,我喝水。,Bebo agua.,wǒ hē shuǐ.
30,好朋友,Buen/a amigo/a.,hǎo péngyou
31,咖啡和果汁,Café y zumo.,kāfēi hé guǒzhī
32,五个中国学生,Cinco estudiantes chinos.,wǔgè zhōngguó xuésheng
33,中国菜,Comida china.,zhōngguó cài
34,我吃中国菜和韩国菜,Como comida china y coreana,wǒ chī zhōngguó cài hé hánguó cài
35,四个朋友,Cuatro amigos.,sìgè péngyou
36,两瓶水,Dos botellas de agua ,liǎng píng shuǐ
37,两碗牛奶,Dos tazones de leche.,liǎngwǎn niúnǎi
38,他吃美国菜,Él come comida estadounidense.,tā chī měiguó cài.
39,他不要那个,Él no quiere eso,tā bú yào nàge.
40,果汁很好喝,El zumo está delicioso,guǒzhī hěn hǎohē.
41,她要那个,Ella quiere eso,tā yào nàge.
42,他是我的朋友,Es mi amigo,tā shì wǒde péngyou.
43,他是我爸爸,Es mi padre,tā shì wǒ bàba.
44,这是豆腐,Eso es café caliente ,zhè shì dòufu
45,那是中国菜,Eso es comida china,nà shì zhōngguó cài.
46,这是热咖啡,Esto es café caliente,zhè shì rè kāfēi
47,这是串儿,Esto es un pincho,zhè shì chuànr.
48,老师要吃汉堡,La profesora quiere comer una hamburguesa,lǎoshī yào chī hànbǎo.
49,我叫丽丽,Me llamo Lili,wǒ jiào lìli.
50,我的日本朋友是老师,Mi amiga japonesa es profesora,wǒ de rìběn péngyǒu shì lǎoshī
51,我的同学,Mi compañero de clase,wǒde tóngxué
52,我家,Mi familia,wǒjiā
53,我弟弟叫李明,Mi hermano menor se llama Li Ming,wǒ dìdi jiào lǐ míng.
54,我妈妈是中国人,Mi madre es china,wǒ māma shì zhōngguórén.
55,我不吃巧克力,No como chocolate,wǒ bù chī qiǎokèlì.
56,我没有哥哥,No tengo un hermano mayor,wǒ méiyǒu gēge.
57,不是，我是德国人,"No, soy alemán","bú shì, wǒ shì déguó rén."
58,八个人,Ocho personas,bāgè rén
59,爸爸和妈妈,Padre y madre,bàba hé māma
60,我们要这个,Queremos esto,wǒmen yào zhège.
61,我要这个,Quiero esto,wǒ yào zhège.
62,是，我是德国人,"Sí, soy alemana","shì, wǒ shì déguó rén."
63,七个学生,Siete estudiantes,qīgè xuésheng
64,我是美国人,Soy estadounidense,wǒ shì měiguó rén.
65,我有六个同事,Tengo seis compañeros,wǒ yǒu liùgè tóngshì.
66,今天我有三节课,Tengo tres clases hoy,jīntiān wǒ yǒu sānjié kè
67,我有一个哥哥,Tengo un hermano,wǒ yǒu yígè gēge.
68,三杯水,Tres vasos de agua,sānbēi shuǐ
69,一瓶啤酒,Una botella de cerveza,yì píng píjiǔ
70,我吃日本菜,Yo como comida japonesa,wǒ chī rìběn cài
71,我吃饺子,"Yo como dumplings, yo como gyozas ",wǒ chī jiǎozi.
72,我不要这个,Yo no quiero esto,wǒ bùyào zhège
73,我要那个,Yo quiero eso,wǒ yào nàgè
74,这个果汁很好喝。你要买吗?,"Este zumo está delicioso, ¿Quieres comprarlo?",zhège guǒzhī hěn hǎo hē. Nǐ yāomǎi ma?
75,我的东西,Mis cosas,wǒ de dōngxī
76,洗手间很小,"El baño es muy pequeño, el baño es pequeño",xǐshǒujiān hěn xiǎo
77,我的公寓只有三个房间,Mi apartamento tiene solo tres habitaciones ,wǒ de gōngyù zhǐyǒu sān gè fángjiān
78,我喜欢你的大客厅,"Me encanta tu sala de estar grande, Me encanta tu gran sala de estar.",Wǒ xǐhuān nǐ de dà kètīng
79,我们的房间很小,Nuestra habitación es muy pequeña,wǒmen de fángjiān hěn xiǎo
80,客厅很小,"La sala de estar es pequeña, La sala de estar es muy pequeña ",kètīng hěn xiǎo
81,我喜欢我的客厅,Me gusta mi sala de estar,wǒ xǐhuān wǒ de kètīng
82,我是学生,Soy estudiante,wǒ shì xuéshēng
83,很少人,Muy pocas personas,hěn shǎo rén
84,多少个学生？,¿Cuántos estudiantes hay?,duōshǎo gè xuéshēng?
85,多少钱？,¿Cuánto (dinero) cuesta?,duōshǎo qián?
86,一块钱,Un yuan chino,yīkuài qián
87,你的房子很大。,Tu casa es grande,nǐ de fángzǐ hěn dà.
88,我们的房子很大。,Nuestra casa es grande,wǒmen de fángzǐ hěn dà.
89,两个房间,Dos habitaciones,liǎng gè fángjiān
90,你们的公寓很新！,Su apartamento es muy nuevo,nǐmen de gōngyù hěn xīn!
91,我喜欢你的房子,Me gusta tu casa,wǒ xǐhuān nǐ de fángzǐ
92,他只有三个房间,"Él solo tiene tres habitaciones.",tā zhǐyǒu sān gè fángjiān
93,客厅和洗手间,Sala de estar y baño,kètīng hé xǐshǒujiān
94,她的房子只有四个房间,Su casa solo tiene cuatro habitaciones,tā de fángzǐ zhǐyǒu sì gè fángjiān
95,他的房间很大,Su habitación es grande,tā de fángjiān hěn dà
96,他的公寓只有两个房间,Su apartamento solo tiene dos habitaciones,tā de gōngyù zhǐyǒu liǎng gè fángjiān
97,"他有一个新老师。",Él tiene un nuevo maestro,tā yǒu yīgè xīn lǎoshī.
98,我要一杯奶茶，谢谢！,"Quisiera un té con leche, ¡gracias!","wǒ yào yībēi nǎichá, xièxiè!"
99,火车站在这里吗,¿La estación de tren está aquí?,huǒchē zhàn zài zhèlǐ ma
100,英国菜,Comida inglesa,yīngguó cài
101,英文书店,librería de libros en inglés,yīngwén shūdiàn
102,你喜欢打篮球吗,¿Te gusta jugar al baloncesto?,nǐ xǐhuān dǎ lánqiú ma
103,我也要一杯咖啡，谢谢,"Yo también quiero una taza de café, gracias.","wǒ yě yào yībēi kāfēi, xièxiè"
104,我的儿子常常去书店,Mi hijo a menudo va a la librería,wǒ de érzi chángcháng qù shūdiàn
105,你有两个新老师吗？,¿Tú tienes dos nuevos maestros?,nǐ yǒu liǎng gè xīn lǎoshī ma?
106,对我喜欢数学,Me gustan las matemáticas,duì wǒ xǐhuān shùxué
107,中国饭馆,Restaurante Chino,zhōngguó fànguǎn
108,你炒什么？,¿Qué salteas?,nǐ chǎo shénme?
109,你想不想吃肉包子？,¿Quieres comer baozi de carne?,nǐ xiǎng bùxiǎng chī ròu bāozǐ?
110,我喜欢吃面！,¡Me gusta comer fideos!,wǒ xǐhuān chī miàn!
111,炒面好吃不好吃？,¿Está rico el chow mein?,chǎomiàn hào chī bù hào chī?
112,对，这是牛肉面,"Sí, son fideos de carne.","duì, zhè shì niúròu miàn"
113,牛肉炒面,"Fideos salteados con ternera, fideos fritos con carne de ternera",niúròu chǎomiàn
114,"我们有 炒面, 炒牛肉 和肉包子","Tenemos fideos fritos, ternera frita y baozi de carne.","wǒmen yǒu chǎomiàn, chǎo niúròu hé ròu bāozǐ"
115,我们要一个炒饭，一个牛肉炒面喝两碗蔬菜汤,"Queremos un (plato de) arroz frito, una (plato de) sopa de fideos fritos con carne y dos tazones de delicioso licor Tang.","wǒmen yào yīgè chǎofàn, yīgè niúròu chǎomiàn hē liǎng wǎn shūcài tāng"
116,你喝什么汤,¿Qué sopa bebes?， ¿Qué tipo de sopa bebes?， ¿Qué sopa tomas?,nǐ hē shénme tāng
117,你想不想喝汤,"¿Quieres sopa?",nǐ xiǎng bùxiǎng hē tāng
118,你吃炒面还是炒饭,"¿Quieres fideos fritos o arroz frito?",nǐ chī chǎomiàn háishì chǎofàn
119,我要吃牛肉炒面,"Quiero comer fideos fritos con carne.",wǒ yào chī niúròu chǎomiàn
120,一碗面,"Un bol de fiedos, un tazón de fieos",yī wǎn miàn
121,蔬菜饺子,"empanadillas de verdura, gyozas de verdura",shūcài jiǎozǐ
122,牛奶巧克力,Chocolate con leche,niúnǎi qiǎokèlì
123,牛肉汉堡,Hamburguesa de ternera ,niúròu hànbǎo
124,我们喜欢吃蔬菜,Nos gusta comer verdura ,wǒmen xǐhuān chī shūcài
125,吃牛肉,Comer carne de ternera ,chī niúròu
126,我喜欢吃牛肉,Me gusta comer carne de ternera ,wǒ xǐhuān chī niúròu
127,你吃不吃牛肉,¿Comes carne de ternera o no?,nǐ chī bù chī niúròu
128,学生和律师,Estudiante y abogado,xuéshēng hé lǜshī
129,你的车票在哪里,¿Dónde está tu billete?,nǐ de chēpiào zài nǎlǐ
130,她是我的同学,Él es mi compañero de clase ,tā shì wǒ de tóngxué
131,我常常去中国超市，你呢？,Yo a menudo voy al supermercado chino,"wǒ chángcháng qù zhōngguó chāoshì, nǐ ne?"
132,火车站在哪里？,¿Dónde está la estación de tren?,huǒchē zhàn zài nǎlǐ?
133,火车站在这里，对不对？,La estación de tren está aquí ,"huǒchē zhàn zài zhèlǐ, duì bùduì?"
134,不，这不是第二站台,"No, esta no es la segunda plataforma","bù, zhè bùshì dì èr zhàntái"
135,我不吃英国菜,Yo no como comida inglesa,wǒ bù chī yīngguó cài
136,她喜欢韩国零食,A ella le gustan los aperitivos coreanos ,tā xǐhuān hánguó língshí
137,我常常买韩国豆腐,Yo a menudo compro tofu coreano,wǒ chángcháng mǎi hánguó dòufu
138,我喜欢英文书,Me gustan los libros en inglés,wǒ xǐhuān yīngwén shū
139,我常常去韩国超市,Yo a menudo voy al supermercado coreano,wǒ chángcháng qù hánguó chāoshì
140,她的妈妈也喜欢英文书,A su madre también le gustan los libros en inglés,tā de māmā yě xǐhuān yīngwén shū
141,日本超市,Supermercado japonés ,rìběn chāoshì
142,中国零食,Aperitivos chinos,zhōngguó língshí
143,我的老公常常买粥,Mi marido a menudo compra gachas,wǒ de lǎogōng chángcháng mǎi zhōu
144,我没有水了,No tengo más agua,wǒ méiyǒu shuǐle
145,你有没有咖啡？,¿Tienes café?,nǐ yǒu méiyǒu kāfēi?
146,你要不要咖啡？,¿Quieres café?,nǐ yào bùyào kāfēi?
147,你有什么？,¿Que tienes?,nǐ yǒu shéme?
148,你们有饺子？,"¿Tienes empanadillas?, ¿Tienes gyozas?",nǐmen yǒu jiǎozǐ?
149,我也看中文书,Yo también leo libros en chino,wǒ yě kàn zhōngwén shū
150,你看英文书，对不对？,"Tú lees libros en inglés, ¿verdad?","nǐ kàn yīngwén shū, duì bùduì?"
151,韩文书，英文书,"Libro en coreano, libro en inglés ","hán wén shū, yīngwén shū"
152,我的妈妈常常买咖啡,"Mi mamá a menudo compra café, mi mamá frecuentemente compra café",wǒ de māmā chángcháng mǎi kāfēi
153,我的儿不常去书店,Mi hijo no va a menudo a la librería,wǒ de ér bù cháng qù shūdiàn
154,她常常去美国超市,Ella va a menudo al supermercado estadounidense ,tā chángcháng qù měiguó chāoshì
155,我不常买零食,No suelo comprar aperitivos,wǒ bù cháng mǎi língshí
156,我的儿子也喜欢韩国书店,A mi hijo también le gusta las librería coreana,wǒ de érzi yě xǐhuān hánguó shūdiàn
157,美国饭馆,Restaurante estadounidense ,měiguó fànguǎn
158,她喜欢超市,A ella le gusta el supermercado,tā xǐhuān chāoshì
159,你常常去韩国饭馆，对不对？,"Tú vas a menudo al restaurante coreano, ¿verdad?","nǐ chángcháng qù hánguó fànguǎn, duì bùduì?"
160,我也看韩文书,Yo también leo libros en coreano,wǒ yě kàn hán wén shū
161,日本饭馆,Restaurante japonés,rìběn fànguǎn
162,她常常去买咖啡,Ella a menudo va a comprar café.,tā chángcháng qù mǎi kāfēi
163,英文老师,"Maestro de inglés, profesor de inglés",yīngwén lǎoshī
164,哎呀，第三站台在哪里？,"Ay, ¿dónde está el andén tres?, ay, donde estas la tercera plataforma?","āiyā, dì sān zhàntái zài nǎlǐ?"
165,对，洗手间在这里,"Sí, el baño está aquí","duì, xǐshǒujiān zài zhèlǐ"
166,你的手机在里，吗？,¿Tu teléfono móvil está aquí?,"nǐ de shǒujī zài lǐ, ma?"
167,我有三个新同学,Tengo tres nuevos compañeros de clase,wǒ yǒu sān gè xīn tóngxué
168,我的书在这里,Mi libro está aquí,wǒ de shū zài zhèlǐ
169,你不常吃日本菜，对不对？,"Tú no sueles comer comida japonesa,¿verdad?","nǐ bù cháng chī rìběn cài, duì bùduì?"
170,王明的桌子乱吗？,"¿El escritorio de Wang Ming muestra un galimatías?¿El escritorio de Wang Ming está desordenado?, ¿La mesa de Wang Ming está desordena?",wáng míng de zhuōzi luàn ma?
171,哇，你的冰箱很漂亮,"Guau, tu refrigerador es muy bonito, Guau, tu nevera es muy hermosa ","wa, nǐ de bīngxiāng hěn piàoliang"
172,我们喝咖啡吧,"Tomemos café, ¡bebamos café!",wǒmen hē kāfēi ba
173,我们去买东西吧,Vayamos de compras ,wǒmen qù mǎi dōngxi ba
174,我们去买东西和吃饭吧,Vayámonos de compras y a comer,wǒmen qù mǎi dōngxi hé chīfàn ba
175,墨西哥菜,Comida mexicana,mòxīgē cài
176,那我们去水果吗,"Entonces, vayamos a comprar fruta ",nà wǒmen qù shuǐguǒ ma
177,他们去买东西,"Ellos van de compras, ellos van a comprar cosas",tāmen qù mǎi dōngxi
178,他们去吃饭,Ellos fueron a comer,tāmen qù chīfàn
179,他们去吃中国菜,Ellos fueron a comer comida china,tāmen qù chī zhōngguó cài
180,"我不想吃炒饭,我们去吃炒面吧","No quiero comer arroz frito, comamos fideos fritos","wǒ bùxiǎng chī chǎofàn, wǒmen qù chī chǎomiàn ba"
181,我们去买炒饭,Compremos arroz frito,wǒmen qù mǎi chǎofàn
182,我们吃饭吧,Comamos,wǒmen chīfàn ba
183,我们去吃饭,Vamos a comer,wǒmen qù chīfàn
184,"我饿了,我们去吃牛肉炒饭吧","Tengo hambre, comamos arroz frito con carne de ternera","wǒ èle, wǒmen qù chī niúròu chǎofàn ba"
185,我很困。我们去喝咖啡吧!,Tengo sueño. ¡Bebamos café!,wǒ hěn kùn. wǒmen qù hē kāfēi ba!
186,我们吃炒饭吧,Comamos arroz frito,wǒmen chī chǎofàn ba
187,王明的床很大吗？,¿Es grande la cama de Wang Ming?La cama de Wang Ming es grande?,wáng míng de chuáng hěn dà ma?
188,这是我们的新电视,Este es nuestro nuevo televisor,zhè shì wǒmen de xīn diànshì
189,我的沙发舒服吗？,¿Mi sofá es cómodo?,wǒ de shāfā shūfú ma?
190,这是我们的客厅,Esta es nuestra sala de estar,zhè shì wǒmen de kètīng
191,哇，你的电视很漂亮,"Guau, tu televisión es muy hermosa, ¡Vaya, tu televisor es precioso!","wa, nǐ de diànshì hěn piàoliang"